iter	Passed	Remaining
0	161	161228
1	165	82682
2	170	56523
3	173	43265
4	178	35444
5	182	30187
6	186	26418
7	190	23636
8	194	21454
9	199	19725
10	203	18328
11	208	17134
12	212	16139
13	216	15260
14	220	14489
15	225	13842
16	229	13258
17	233	12761
18	235	12169
19	239	11725
20	243	11347
21	247	10993
22	251	10674
23	255	10382
24	259	10110
25	263	9861
26	267	9629
27	271	9417
28	275	9226
29	279	9041
30	283	8875
31	287	8702
32	291	8551
33	296	8416
34	300	8274
35	304	8143
36	308	8016
37	312	7899
38	315	7782
39	319	7668
40	323	7566
41	327	7474
42	332	7389
43	336	7302
44	340	7217
45	344	7143
46	348	7064
47	352	6997
48	357	6935
49	362	6878
50	366	6822
51	370	6759
52	374	6698
53	378	6628
54	382	6571
55	387	6524
56	391	6471
57	394	6407
58	399	6363
59	403	6321
60	407	6271
61	411	6224
62	415	6178
63	419	6134
64	423	6089
65	427	6048
66	431	6005
67	435	5965
68	439	5928
69	443	5888
70	447	5856
71	451	5817
72	455	5779
73	459	5745
74	463	5711
75	467	5679
76	471	5648
77	475	5620
78	479	5591
79	483	5559
80	487	5530
81	491	5501
82	495	5474
83	499	5447
84	503	5418
85	507	5393
86	511	5368
87	515	5344
88	519	5322
89	523	5296
90	528	5276
91	532	5255
92	536	5233
93	540	5211
94	544	5191
95	548	5169
96	552	5147
97	556	5125
98	560	5104
99	564	5083
100	568	5061
101	572	5042
102	576	5024
103	580	5005
104	585	4987
105	589	4971
106	593	4954
107	598	4939
108	602	4921
109	606	4903
110	610	4886
111	611	4850
112	615	4832
113	619	4816
114	623	4801
115	627	4785
116	631	4769
117	636	4754
118	640	4738
119	644	4725
120	648	4709
121	652	4694
122	656	4679
123	660	4664
124	664	4649
125	668	4637
126	672	4624
127	677	4613
128	681	4600
129	685	4586
130	689	4573
131	693	4560
132	697	4548
133	701	4535
134	705	4522
135	709	4509
136	713	4497
137	718	4486
138	722	4473
139	726	4459
140	730	4447
141	734	4436
142	738	4424
143	742	4412
144	746	4401
145	750	4390
146	754	4379
147	759	4370
148	763	4359
149	767	4348
150	771	4337
151	775	4325
152	779	4314
153	783	4303
154	787	4292
155	791	4283
156	796	4274
157	800	4263
158	804	4253
159	808	4243
160	812	4236
161	817	4227
162	821	4216
163	825	4205
164	828	4195
165	833	4185
166	837	4175
167	841	4166
168	845	4156
169	849	4147
170	853	4137
171	857	4127
172	861	4117
173	865	4107
174	869	4099
175	873	4091
176	878	4083
177	882	4076
178	886	4067
179	891	4060
180	895	4052
181	900	4045
182	904	4038
183	908	4031
184	912	4022
185	917	4014
186	921	4006
187	925	3998
188	930	3994
189	935	3987
190	939	3980
191	943	3970
192	948	3964
193	952	3956
194	956	3949
195	961	3942
196	965	3937
197	970	3932
198	975	3925
199	979	3919
200	984	3912
201	988	3904
202	992	3898
203	997	3892
204	1002	3886
205	1006	3879
206	1011	3873
207	1015	3867
208	1019	3860
209	1024	3853
210	1028	3846
211	1032	3838
212	1036	3830
213	1040	3822
214	1044	3813
215	1048	3806
216	1052	3798
217	1056	3789
218	1060	3782
219	1064	3774
220	1069	3768
221	1073	3760
222	1077	3753
223	1081	3745
224	1085	3737
225	1088	3729
226	1092	3721
227	1097	3715
228	1101	3707
229	1105	3701
230	1109	3693
231	1113	3686
232	1117	3679
233	1121	3671
234	1125	3663
235	1129	3655
236	1133	3647
237	1136	3639
238	1140	3632
239	1144	3624
240	1148	3617
241	1152	3610
242	1156	3602
243	1160	3594
244	1163	3586
245	1167	3579
246	1171	3572
247	1175	3565
248	1179	3557
249	1183	3550
250	1187	3543
251	1191	3537
252	1195	3530
253	1200	3524
254	1203	3517
255	1207	3509
256	1211	3503
257	1216	3497
258	1220	3492
259	1225	3487
260	1229	3480
261	1233	3473
262	1236	3466
263	1241	3459
264	1244	3452
265	1248	3445
266	1252	3438
267	1256	3430
268	1260	3424
269	1264	3417
270	1268	3411
271	1272	3404
272	1275	3397
273	1279	3391
274	1283	3384
275	1287	3378
276	1291	3371
277	1295	3365
278	1299	3358
279	1303	3352
280	1307	3346
281	1312	3340
282	1315	3334
283	1319	3327
284	1323	3321
285	1327	3314
286	1332	3309
287	1336	3303
288	1340	3297
289	1344	3290
290	1348	3284
291	1352	3278
292	1356	3272
293	1359	3265
294	1363	3258
295	1367	3252
296	1371	3246
297	1375	3241
298	1380	3236
299	1384	3230
300	1388	3224
301	1392	3218
302	1396	3211
303	1400	3205
304	1403	3199
305	1407	3193
306	1411	3186
307	1415	3180
308	1419	3175
309	1424	3170
310	1428	3164
311	1432	3158
312	1436	3152
313	1440	3146
314	1443	3140
315	1448	3134
316	1452	3128
317	1456	3123
318	1460	3116
319	1463	3110
320	1467	3104
321	1471	3098
322	1475	3092
323	1479	3087
324	1483	3081
325	1487	3076
326	1491	3070
327	1495	3064
328	1499	3059
329	1504	3053
330	1507	3047
331	1511	3041
332	1515	3035
333	1519	3029
334	1523	3024
335	1527	3018
336	1531	3013
337	1536	3008
338	1540	3002
339	1543	2997
340	1547	2991
341	1551	2985
342	1555	2979
343	1559	2974
344	1563	2969
345	1567	2963
346	1571	2957
347	1575	2952
348	1580	2947
349	1583	2941
350	1587	2935
351	1591	2929
352	1595	2924
353	1599	2918
354	1603	2912
355	1607	2907
356	1611	2901
357	1614	2895
358	1618	2889
359	1622	2884
360	1626	2878
361	1630	2873
362	1634	2867
363	1638	2862
364	1642	2857
365	1646	2852
366	1650	2847
367	1654	2841
368	1658	2836
369	1662	2831
370	1666	2826
371	1670	2820
372	1674	2815
373	1678	2809
374	1682	2803
375	1686	2798
376	1690	2794
377	1695	2789
378	1699	2784
379	1703	2779
380	1707	2773
381	1711	2768
382	1715	2762
383	1718	2757
384	1722	2751
385	1726	2746
386	1730	2741
387	1734	2736
388	1738	2731
389	1743	2726
390	1747	2721
391	1751	2715
392	1754	2710
393	1758	2704
394	1762	2698
395	1766	2693
396	1769	2688
397	1773	2682
398	1777	2677
399	1781	2672
400	1785	2667
401	1789	2662
402	1793	2657
403	1797	2651
404	1801	2647
405	1805	2641
406	1809	2636
407	1814	2632
408	1818	2627
409	1822	2622
410	1826	2617
411	1830	2612
412	1834	2606
413	1838	2601
414	1842	2596
415	1846	2592
416	1850	2587
417	1854	2582
418	1859	2577
419	1863	2572
420	1867	2568
421	1871	2563
422	1875	2558
423	1879	2553
424	1883	2548
425	1887	2543
426	1891	2538
427	1895	2533
428	1900	2528
429	1904	2523
430	1907	2518
431	1911	2513
432	1916	2509
433	1920	2504
434	1924	2499
435	1928	2494
436	1932	2489
437	1936	2484
438	1940	2479
439	1944	2474
440	1948	2469
441	1952	2465
442	1956	2460
443	1960	2455
444	1964	2450
445	1968	2445
446	1972	2440
447	1976	2435
448	1980	2430
449	1984	2425
450	1989	2421
451	1992	2416
452	1996	2411
453	2000	2406
454	2005	2401
455	2009	2397
456	2013	2392
457	2017	2388
458	2021	2383
459	2025	2378
460	2030	2373
461	2034	2368
462	2038	2363
463	2041	2358
464	2045	2353
465	2049	2348
466	2053	2343
467	2057	2338
468	2061	2333
469	2065	2328
470	2069	2324
471	2073	2319
472	2077	2314
473	2080	2309
474	2084	2304
475	2088	2299
476	2092	2294
477	2096	2289
478	2100	2284
479	2104	2279
480	2107	2274
481	2111	2269
482	2115	2264
483	2119	2259
484	2123	2254
485	2127	2249
486	2131	2244
487	2135	2240
488	2138	2235
489	2142	2229
490	2146	2224
491	2150	2220
492	2153	2215
493	2158	2211
494	2162	2206
495	2166	2201
496	2170	2196
497	2174	2191
498	2178	2187
499	2182	2182
500	2186	2177
501	2190	2172
502	2194	2168
503	2198	2163
504	2202	2159
505	2206	2154
506	2210	2149
507	2214	2144
508	2218	2139
509	2222	2135
510	2226	2130
511	2230	2125
512	2234	2121
513	2238	2116
514	2242	2111
515	2246	2106
516	2250	2102
517	2254	2097
518	2258	2093
519	2262	2088
520	2266	2083
521	2270	2079
522	2274	2074
523	2278	2069
524	2281	2064
525	2285	2059
526	2289	2054
527	2293	2050
528	2297	2046
529	2301	2041
530	2306	2037
531	2310	2032
532	2314	2027
533	2318	2023
534	2322	2018
535	2326	2014
536	2330	2009
537	2334	2004
538	2338	2000
539	2342	1995
540	2346	1991
541	2350	1986
542	2354	1981
543	2358	1977
544	2362	1972
545	2366	1967
546	2370	1963
547	2374	1958
548	2378	1954
549	2382	1949
550	2386	1944
551	2390	1940
552	2394	1935
553	2398	1931
554	2403	1926
555	2406	1922
556	2410	1917
557	2414	1912
558	2418	1908
559	2423	1903
560	2427	1899
561	2430	1894
562	2434	1889
563	2438	1885
564	2442	1880
565	2446	1876
566	2450	1871
567	2454	1866
568	2458	1862
569	2462	1857
570	2466	1853
571	2470	1848
572	2474	1844
573	2478	1839
574	2482	1835
575	2486	1830
576	2490	1825
577	2494	1821
578	2498	1816
579	2502	1812
580	2506	1807
581	2510	1802
582	2514	1798
583	2517	1793
584	2521	1788
585	2525	1784
586	2529	1779
587	2533	1775
588	2537	1770
589	2541	1765
590	2545	1761
591	2548	1756
592	2553	1752
593	2557	1747
594	2561	1743
595	2564	1738
596	2568	1734
597	2572	1729
598	2576	1724
599	2580	1720
600	2584	1716
601	2589	1711
602	2593	1707
603	2597	1702
604	2601	1698
605	2604	1693
606	2608	1689
607	2612	1684
608	2616	1680
609	2620	1675
610	2624	1671
611	2629	1666
612	2633	1662
613	2637	1658
614	2641	1653
615	2645	1649
616	2649	1644
617	2653	1640
618	2657	1635
619	2661	1631
620	2665	1626
621	2669	1622
622	2673	1617
623	2677	1613
624	2682	1609
625	2686	1604
626	2689	1600
627	2693	1595
628	2697	1591
629	2701	1586
630	2705	1582
631	2709	1577
632	2713	1573
633	2717	1568
634	2721	1564
635	2725	1559
636	2729	1555
637	2733	1551
638	2737	1546
639	2741	1542
640	2745	1537
641	2749	1533
642	2753	1528
643	2757	1524
644	2761	1519
645	2765	1515
646	2769	1510
647	2773	1506
648	2777	1501
649	2781	1497
650	2784	1492
651	2789	1488
652	2793	1484
653	2797	1479
654	2801	1475
655	2805	1471
656	2809	1466
657	2813	1462
658	2817	1457
659	2821	1453
660	2825	1449
661	2829	1444
662	2833	1440
663	2837	1435
664	2841	1431
665	2845	1426
666	2849	1422
667	2852	1417
668	2856	1413
669	2860	1409
670	2864	1404
671	2869	1400
672	2873	1395
673	2877	1391
674	2881	1387
675	2884	1382
676	2888	1378
677	2892	1373
678	2896	1369
679	2900	1364
680	2904	1360
681	2908	1356
682	2912	1351
683	2916	1347
684	2920	1342
685	2924	1338
686	2928	1334
687	2932	1329
688	2935	1325
689	2939	1320
690	2944	1316
691	2949	1312
692	2954	1308
693	2958	1304
694	2962	1300
695	2967	1295
696	2971	1291
697	2975	1287
698	2979	1283
699	2983	1278
700	2988	1274
701	2992	1270
702	2997	1266
703	3001	1262
704	3005	1257
705	3009	1253
706	3013	1248
707	3017	1244
708	3021	1240
709	3025	1235
710	3029	1231
711	3033	1227
712	3038	1222
713	3042	1218
714	3047	1214
715	3051	1210
716	3056	1206
717	3061	1202
718	3066	1198
719	3071	1194
720	3075	1190
721	3080	1186
722	3084	1181
723	3089	1177
724	3094	1173
725	3098	1169
726	3103	1165
727	3107	1161
728	3121	1160
729	3128	1156
730	3132	1152
731	3137	1148
732	3141	1144
733	3146	1140
734	3150	1135
735	3154	1131
736	3159	1127
737	3163	1123
738	3168	1119
739	3173	1114
740	3177	1110
741	3181	1106
742	3186	1102
743	3190	1097
744	3194	1093
745	3198	1089
746	3202	1084
747	3206	1080
748	3210	1075
749	3214	1071
750	3218	1067
751	3222	1062
752	3226	1058
753	3230	1053
754	3234	1049
755	3238	1045
756	3242	1040
757	3246	1036
758	3249	1031
759	3253	1027
760	3258	1023
761	3262	1018
762	3266	1014
763	3271	1010
764	3275	1006
765	3279	1001
766	3282	997
767	3286	992
768	3290	988
769	3294	984
770	3298	979
771	3302	975
772	3307	971
773	3311	966
774	3314	962
775	3318	958
776	3322	953
777	3327	949
778	3332	945
779	3336	940
780	3340	936
781	3344	932
782	3348	927
783	3352	923
784	3356	919
785	3360	914
786	3364	910
787	3368	906
788	3372	901
789	3376	897
790	3380	893
791	3384	888
792	3388	884
793	3392	880
794	3397	875
795	3400	871
796	3404	867
797	3408	862
798	3412	858
799	3416	854
800	3420	849
801	3424	845
802	3428	841
803	3432	836
804	3436	832
805	3441	828
806	3444	823
807	3448	819
808	3453	815
809	3456	810
810	3460	806
811	3464	802
812	3468	797
813	3472	793
814	3476	789
815	3480	784
816	3484	780
817	3488	776
818	3492	771
819	3496	767
820	3500	763
821	3504	758
822	3508	754
823	3512	750
824	3516	745
825	3519	741
826	3523	737
827	3527	732
828	3531	728
829	3535	724
830	3539	719
831	3543	715
832	3547	711
833	3551	706
834	3555	702
835	3559	698
836	3563	693
837	3567	689
838	3570	685
839	3574	680
840	3579	676
841	3583	672
842	3587	668
843	3591	663
844	3595	659
845	3598	655
846	3602	650
847	3606	646
848	3611	642
849	3615	638
850	3619	633
851	3623	629
852	3627	625
853	3631	620
854	3634	616
855	3638	612
856	3643	607
857	3647	603
858	3651	599
859	3655	595
860	3659	590
861	3663	586
862	3667	582
863	3671	577
864	3675	573
865	3679	569
866	3683	565
867	3687	560
868	3690	556
869	3694	552
870	3698	547
871	3702	543
872	3706	539
873	3710	534
874	3714	530
875	3717	526
876	3721	522
877	3725	517
878	3729	513
879	3733	509
880	3737	504
881	3741	500
882	3745	496
883	3749	492
884	3753	487
885	3757	483
886	3761	479
887	3765	474
888	3770	470
889	3774	466
890	3779	462
891	3783	458
892	3789	454
893	3794	449
894	3798	445
895	3803	441
896	3807	437
897	3813	433
898	3817	428
899	3821	424
900	3826	420
901	3831	416
902	3835	411
903	3839	407
904	3847	403
905	3851	399
906	3856	395
907	3860	391
908	3864	386
909	3869	382
910	3873	378
911	3877	374
912	3881	369
913	3886	365
914	3888	361
915	3892	356
916	3895	352
917	3899	348
918	3903	344
919	3907	339
920	3911	335
921	3915	331
922	3919	326
923	3923	322
924	3927	318
925	3931	314
926	3935	309
927	3939	305
928	3943	301
929	3947	297
930	3951	292
931	3955	288
932	3958	284
933	3962	280
934	3966	275
935	3970	271
936	3974	267
937	3978	262
938	3982	258
939	3986	254
940	3990	250
941	3994	245
942	3998	241
943	4002	237
944	4006	233
945	4010	228
946	4014	224
947	4018	220
948	4022	216
949	4026	211
950	4029	207
951	4033	203
952	4037	199
953	4041	194
954	4045	190
955	4049	186
956	4053	182
957	4057	177
958	4061	173
959	4065	169
960	4069	165
961	4073	160
962	4077	156
963	4081	152
964	4085	148
965	4089	143
966	4093	139
967	4097	135
968	4102	131
969	4105	126
970	4109	122
971	4113	118
972	4117	114
973	4122	110
974	4126	105
975	4130	101
976	4134	97
977	4139	93
978	4143	88
979	4147	84
980	4151	80
981	4156	76
982	4160	71
983	4164	67
984	4169	63
985	4173	59
986	4178	55
987	4182	50
988	4186	46
989	4190	42
990	4194	38
991	4199	33
992	4203	29
993	4207	25
994	4212	21
995	4215	16
996	4219	12
997	4223	8
998	4227	4
999	4231	0
